Row#,Page/Endpoint Name,Route/URL Pattern,Type,Priority,Auditor Tool,Perf Check,SEO Check,A11y Check,Security Check,Content Check,Functional Check,Audit Status,Notes
11,Google Feed (v1),/api/feed/google,API-GET,MEDIUM,Claude CLI,Feed generated < 5s; cached 24h; streaming if large,N/A — API endpoint,N/A — API endpoint,No auth needed (public feed); rate limiting; feed generation sandboxed; no credentials in feed,Feed format valid (Google Merchant XML); product data accurate; affiliate links correct; INR pricing; image URLs valid,Feed generates valid XML; Google Merchant schema correct; affiliate links present; images load; feed cached correctly,Not Started,⚠️ Possible duplicate of /api/feeds/google — investigate and consolidate; validate with Google Merchant Center
12,Google Feed (v2),/api/feeds/google,API-GET,MEDIUM,Claude CLI,Feed generated < 5s; cached 24h,N/A — API endpoint,N/A — API endpoint,Same as /api/feed/google,Same as /api/feed/google,Same as /api/feed/google,Not Started,⚠️ Likely duplicate of /api/feed/google — investigate which is canonical and 301 the other; consolidate
13,Competitive Intelligence,/api/intelligence/competitive,API-GET,MEDIUM,Claude CLI,Response < 1s; external data cached 6h; no scraping timeout,N/A — API endpoint,N/A — API endpoint,Admin/internal auth required — not public; product ID validated; no SSRF via competitor URL params; scraping within robots.txt limits,Competitor price data accurate; source identified; timestamp of last check shown,Auth guard works; valid product returns competitor prices; external source timeout handled gracefully; cached result returned on source failure,Not Started,Restrict to internal/admin only — competitive intelligence must not be public API
14,Deal Intelligence,/api/intelligence/deals,API-GET,MEDIUM,Claude CLI,Response < 1s; external data cached 1h,N/A — API endpoint,N/A — API endpoint,Admin/internal auth required; deal source data validated; no SSRF; rate limiting,Deal intelligence data accurate; actionable insights correct; source attributed,Auth guard works; valid request returns deal insights; source API down returns cached data,Not Started,Restrict to internal/admin — same as competitive intelligence
15,Mobile Deals,/api/mobile/deals,API-GET,HIGH,Claude CLI,Response < 300ms; Redis cached 15min; paginated; lightweight payload for mobile,N/A — API endpoint,N/A — API endpoint,No credentials in response; rate limiting; deal IDs validated; affiliate IDs protected,Deal data accurate; expired deals excluded; affiliate IDs correct; mobile-optimised payload (minimal fields),Deals returned; expired filtered; pagination works; source API error handled; payload is lightweight JSON,Not Started,Verify payload is minimal for mobile — no unnecessary fields that inflate response size
16,Mobile Products,/api/mobile/products,API-GET,HIGH,Claude CLI,Response < 300ms; Redis cached 15min; paginated; lightweight,N/A — API endpoint,N/A — API endpoint,No credentials in response; rate limiting; product IDs validated; search/filter params sanitized,Product data accurate; affiliate IDs correct; INR pricing; mobile-optimised payload,Products returned; filter/sort works; pagination works; source error handled; payload lightweight,Not Started,Verify payload strips unnecessary fields for mobile — reduce bandwidth usage
17,AI Description Generator,/api/content/generate-description,API-POST,MEDIUM,Claude CLI,Response < 5s; AI generation async; timeout 30s max,N/A — API endpoint,N/A — API endpoint,Admin/editor auth required; product data sanitized before sending to AI; no PII sent to AI model; AI response sanitized before storage; rate limiting per user/hour,Generated description accurate; brand-consistent; no hallucinated specs; disclaimer if AI-generated content,Auth guard works; valid product data returns description; AI timeout handled gracefully; rate limiting prevents AI cost abuse,Not Started,⚠️ Rate limit strictly — AI generation has cost per call; sanitize AI output before storing
18,Social Content Generator,/api/social/generate,API-POST,MEDIUM,Claude CLI,Response < 5s; AI generation async; timeout 30s max,N/A — API endpoint,N/A — API endpoint,Auth required; product data sanitized before AI; no PII to AI; AI response sanitized; rate limiting,Generated social copy accurate; brand voice consistent; no hallucinated product claims; affiliate disclosure in copy if link included,Auth guard works; valid product returns social copy variants; AI timeout handled; rate limiting works,Not Started,⚠️ Rate limit — AI generation has cost; ensure generated copy is reviewed before publishing
19,POD AI Generate,/api/pod/ai-generate,API-POST,MEDIUM,Claude CLI,Response < 10s; image generation async; timeout 60s; progress events if streaming,N/A — API endpoint,N/A — API endpoint,Auth required; prompt sanitized (no jailbreak); generated image scanned for prohibited content; file size of output validated; rate limiting per user per day,Generated design appropriate; no copyright-infringing style prompts processed; watermark if preview,Auth guard works; valid prompt returns generated design; prohibited content rejected; rate limiting triggers; timeout handled gracefully,Not Started,🔴 Sanitize AI image prompts — prevent NSFW/copyright-infringing generation; rate limit per user per day
20,Search API,/api/search,API-GET,CRITICAL,Claude CLI,Response < 300ms; Redis cached; no N+1 queries; fast full-text search,N/A — API endpoint,N/A — API endpoint,Query sanitized (no SQL injection / NoSQL injection); rate limiting (10 req/s per IP); search results from trusted catalog only; no PII in search logs,Results relevant to query; sponsored results labeled; affiliate links correct; no irrelevant results,Search returns results for valid query; empty query returns 400; rate limiting triggers; affiliate links on results; sponsored vs organic separated,Not Started,🔴 Test SQL/NoSQL injection via query param; verify rate limiting is strict
21,Search Index Products,/api/search/index-products,API-POST,MEDIUM,Claude CLI,Indexing job < 60s; async batch processing; no memory overflow,N/A — API endpoint,N/A — API endpoint,Admin/cron auth required; product data validated before indexing; idempotent — re-index safe; no PII indexed; rate limiting,Products indexed accurately; search results improve after indexing; no stale products in index,Auth guard works; products indexed correctly; stale products removed; duplicate products deduped; cron trigger fires correctly,Not Started,Protect with admin/cron auth — not public endpoint; verify index is updated on product changes
22,SEO Audit API,/api/seo/audit,API-GET,MEDIUM,Claude CLI,Response < 2s; audit results cached per URL; no blocking scrape,N/A — API endpoint,N/A — API endpoint,Admin auth required; URL param validated (must be cloudbasket.co domain only — prevent SSRF); rate limiting,Audit results accurate; SEO issues correctly identified; recommendations actionable,Auth guard works; valid URL returns audit report; non-cloudbasket URL rejected (SSRF prevention); rate limiting works,Not Started,🔴 SSRF risk — must restrict auditable URLs to cloudbasket.co domain only; reject external URLs
23,Telegram Webhook,/api/telegram/webhook,Webhook,MEDIUM,Claude CLI,Processed < 2s; async job queue,N/A — API endpoint,N/A — API endpoint,Telegram bot token verified in X-Telegram-Bot-Api-Secret-Token header; HTTPS only; idempotent message processing; no PII logged; replay protection,N/A — webhook receiver,Token verification works; valid Telegram updates processed; invalid token returns 403; bot commands handled correctly; errors handled gracefully,Not Started,🔴 Verify Telegram secret token on every request — missing check = anyone can send fake bot events
24,UGC Submit,/api/ugc,API-POST,MEDIUM,Claude CLI,Response < 500ms; content moderation async,N/A — API endpoint,N/A — API endpoint,Auth required; content sanitized (no XSS/HTML injection); file upload type+size validated; content moderation before publish; rate limiting per user per day; no PII beyond user ID,UGC content appropriate; no hate speech / NSFW; brand-safe; attribution to user correct,Auth guard works; UGC submitted; moderation queue triggered; inappropriate content flagged; rate limiting triggers; file upload validated,Not Started,🔴 Content moderation required before publishing UGC — automate with moderation API + human review
25,User Data Export,/api/user/data-export,API-GET,HIGH,Claude CLI,Export generated < 10s; async for large datasets; download link via email if large,N/A — API endpoint,N/A — API endpoint,Auth required; user can only export their own data (no IDOR); export includes all PII per DPDPA right-to-access; rate limiting (1 export per 24h per user); export file not publicly accessible URL,Export contains complete user PII (name/email/orders/preferences/consents); DPDPA Article 11 compliant; no other user's data in export,Auth guard works; user exports only their own data; another user's ID returns 403; rate limiting works; export file delivered securely,Not Started,DPDPA 2023 right to data access — verify export is complete and only accessible to the requesting user
