#,Page Name,Route,Section Group,Localhost URL,Production URL,Page Type,Priority,Lighthouse,Gemini CLI,Claude AI,User Manual,Primary Auditor,Performance Checks,SEO Checks,Accessibility Checks,Security Checks,Content Checks,UX/UI Checks,Functional Checks,Audit Status,Notes
18,Deals Hub,/deals,Commerce,http://localhost:3000/deals,https://cloudbasket.in/deals,Dynamic - Deal Grid,HIGH,Yes,Yes,No,Yes,Lighthouse + User,Deal cards lazy load; LCP < 2.5s,Title: Today's Deals - CloudBasket; Meta desc; H1; OG; Sitemap,Accessible deal cards; Keyboard nav,Deal data server-verified,Deals current; Prices correct; Affiliate links working; Expiry shown,Deals grid; Category tabs if present; Mobile responsive,Category filter works; Deal click tracks; Buy Now opens affiliate; Flash deals link works,Not Started,Check if /deals and /best-deals have duplicate content — canonical one of them
19,Flash Deals,/deals/flash,Commerce,http://localhost:3000/deals/flash,https://cloudbasket.in/deals/flash,Dynamic - Flash Sale,HIGH,Yes,No,Yes,Yes,Lighthouse + User,Countdown timer no CLS; Images optimized; Fast load — flash sales are time-sensitive,Title: Flash Deals - CloudBasket; Meta desc; H1; Noindex if empty; OG with urgency,Countdown ARIA live region; Screen reader announces time left; Keyboard nav,Deal authenticity server-side; No countdown manipulation; Affiliate IDs validated,All deals active at load; Prices correct; Expiry accurate; Sold out state handled,Timer prominent; Urgency design (red/orange); Mobile responsive; Empty state if no flash deals,Countdown counts down correctly; Sold out state shows; Deal click tracks; Refresh shows updated deals,Not Started,Test sold-out state; test page when no flash deals exist
20,Deal Detail,/deals/[id],Commerce,http://localhost:3000/deals/abc123,https://cloudbasket.in/deals/abc123,Dynamic - Deal Page,HIGH,Yes,No,Yes,Yes,Claude AI + User,LCP (deal image) < 2.5s; Countdown no CLS,Schema: Offer + Product; Title: [Deal Name] - Limited Time; Canonical; OG,Deal image alt; Countdown readable; Buy CTA labeled,Deal ID validated server-side; Price server-rendered; Affiliate ID protected,Deal details accurate; Price + original price shown; Expiry shown; Affiliate disclosure; Terms if applicable,Deal design clear; Timer prominent; Mobile layout; Breadcrumb,Deal data loads; Countdown works; Buy CTA fires tracking + redirect; Expired deal shows graceful error,Not Started,Handle gracefully if deal ID is invalid or expired
21,POD Hub,/pod,POD,http://localhost:3000/pod,https://cloudbasket.in/pod,Static - Landing,HIGH,Yes,Yes,No,Yes,Gemini CLI + User,Hero image optimized; Category grid lazy; LCP < 2.5s,Title: Print on Demand - CloudBasket; Meta desc; H1; Schema: Service; OG; Sitemap,Category images alt; CTA buttons labeled; Keyboard nav,No form here — low risk; External print partner links noopener,POD proposition clear; Categories (T-Shirts/Mugs/Cases) visible; Pricing teaser; How it works section; CTA to upload/design,Category card grid responsive; Mobile layout; Design tokens; Brand CTA colors,Category cards navigate correctly; CTA buttons work; How it works links navigate,Not Started,Entry point to POD flow — ensure UX is crystal clear
22,POD T-Shirts,/pod/tshirts,POD,http://localhost:3000/pod/tshirts,https://cloudbasket.in/pod/tshirts,Dynamic - Product Grid,HIGH,Yes,Yes,No,Yes,Lighthouse + User,Product images optimized; Mockup previews lazy load; LCP < 2.5s,Title: Custom T-Shirts - POD; Meta desc; H1; Schema: Product; Breadcrumb; Sitemap,Product cards accessible; Size selector labeled; Color picker labeled,No user data here; Affiliate links safe,T-shirt variants correct; Sizes listed; Colors accurate; Pricing shown; Customization CTA clear,Product grid; Size/color pickers; Mobile responsive; Mockup preview quality,Select size/color works; Customize/upload CTA leads to /pod/upload; Add to cart flow,Not Started,Verify mockup previews actually represent final product
23,POD Mugs,/pod/mugs,POD,http://localhost:3000/pod/mugs,https://cloudbasket.in/pod/mugs,Dynamic - Product Grid,HIGH,Yes,Yes,No,Yes,Lighthouse + User,Same as T-shirts,Title: Custom Mugs - POD; Meta desc; H1; Schema: Product; Breadcrumb; Sitemap,Same as T-shirts,Same as T-shirts,Mug variants correct; Capacity/size options listed; Material info; Pricing; CTA clear,Product grid; Variant pickers; Mobile responsive; Mockup quality,Size/variant selection; Customize CTA leads to /pod/upload; Cart flow,Not Started,Same checks as T-Shirts — apply systematically
24,POD Phone Cases,/pod/phone-cases,POD,http://localhost:3000/pod/phone-cases,https://cloudbasket.in/pod/phone-cases,Dynamic - Product Grid,HIGH,Yes,Yes,No,Yes,Lighthouse + User,Same as T-shirts,Title: Custom Phone Cases - POD; Meta desc; H1; Schema: Product; Breadcrumb; Sitemap,Same as T-shirts; Device selection accessible,Same as T-shirts,Device/model compatibility list current (latest iPhones/Android); Material options; Pricing; Print area shown,Product grid; Device picker UX; Mockup preview; Mobile responsive,Device selection filters correctly; Customize CTA works; Cart flow,Not Started,Ensure device compatibility list is up-to-date — check for latest models
25,POD Designs,/pod/designs,POD,http://localhost:3000/pod/designs,https://cloudbasket.in/pod/designs,Dynamic - Gallery,MEDIUM,Yes,Yes,No,Yes,Gemini CLI + User,Design gallery lazy load; LCP < 2.5s; Filter no CLS,Title: Design Gallery - CloudBasket POD; Meta desc; H1; Sitemap,Design images alt; Category filter labeled; Keyboard nav,User-generated content if present — moderation check; No exposed user data,Designs look professional; Categories correct; License terms clear (who owns design),Gallery grid responsive; Filter UX; Design preview quality; Mobile 2-col,Filter works; Design click shows detail or customize CTA; Copyright info present,Not Started,Clarify licensing — are these stock designs or user-uploaded?
26,POD Upload,/pod/upload,POD,http://localhost:3000/pod/upload,https://cloudbasket.in/pod/upload,Interactive - Upload Tool,CRITICAL,Yes,No,Yes,Yes,Claude AI + User,Upload progress no CLS; Canvas render performant; Image processing client-side fast,Noindex (tool page — not SEO-focused); Canonical; Title: Upload Your Design - POD,Upload dropzone keyboard accessible + ARIA; Error messages announced; Preview accessible,File type validation (JPEG/PNG/SVG only); Max file size enforced; Malware scan if server-upload; No path traversal; CSRF on upload; Sanitize filename,Upload instructions clear; Accepted formats stated; File size limit stated; Preview accurate; Pricing post-upload shown,Dropzone UX intuitive; Preview mockup renders correctly; Mobile upload works; Progress indicator; Error state design,File select works; Drag-and-drop works; Preview renders on canvas; Format validation fires on wrong file type; Size limit rejects oversized files; Submit/next step works,Not Started,Security critical — file upload must validate type AND content (not just extension)
27,POD Category (Dynamic),/pod/[category],POD,http://localhost:3000/pod/custom-caps,https://cloudbasket.in/pod/custom-caps,Dynamic - Product Grid,MEDIUM,Yes,No,Yes,No,Claude AI,Same as static POD pages,Canonical per category slug; Redirect invalid slugs to /pod; Title dynamic,Same as product grids,category param validated server-side; No directory traversal,Products match category; Accurate descriptions,Responsive layout; Brand consistent,Invalid category 404s or redirects; Products load for valid category,Not Started,Ensure [category] param is validated against whitelist — prevent arbitrary slug injection
28,Affiliate Hub,/affiliate,Affiliate,http://localhost:3000/affiliate,https://cloudbasket.in/affiliate,Static - Informational,HIGH,Yes,Yes,No,Yes,Gemini CLI + User,Fast text load; Partner logos optimized; LCP < 2s,Title: Affiliate Program - CloudBasket; Meta desc; H1; Schema: Service; OG; Sitemap,Heading structure; CTA buttons labeled; Form accessible if present,No form here; External network links noopener,Affiliate network description accurate; Commission rates correct; How-it-works clear; Signup CTA prominent; Legal disclaimer present,Program benefits layout clear; Networks displayed (Amazon/CJ/Flipkart); Mobile responsive; CTA prominent,Network links open correctly; Signup CTA navigates correctly; Any form submits,Not Started,Ensure commission rates/terms are accurate and up to date
29,Affiliate Disclosure,/affiliate-disclosure,Affiliate,http://localhost:3000/affiliate-disclosure,https://cloudbasket.in/affiliate-disclosure,Static - Legal,MEDIUM,No,No,Yes,No,Claude AI,Fast text load; No heavy assets,Title: Affiliate Disclosure; Meta desc; Canonical; Consider noindex,Readable font size; Heading structure,No forms; Low risk,Disclosure text FTC/ASCI/Indian law compliant; Covers all affiliate networks used; Date current; Email contact present,Readable typography; Print-friendly,All links in disclosure text work; Email link works,Not Started,Check compliance with Indian IT Act 2000 and ASCI guidelines
30,CJ Affiliate,/cj,Affiliate,http://localhost:3000/cj,https://cloudbasket.in/cj,Dynamic - Product Grid,HIGH,Yes,Yes,Yes,Yes,All,CJ product images lazy load; LCP < 2.5s; API response cached,Title: CJ Network Products - CloudBasket; Meta desc; H1; Canonical; Sitemap,Product cards accessible; Keyboard nav,CJ API credentials not exposed; Redirect /go/ validates ID; Affiliate IDs protected in client,CJ products display correctly; Prices accurate; Links go through /go/ tracking; Affiliate disclosure present,Product grid; Mobile responsive; Brand consistent,CJ API returns products; /go/ redirect tracking fires; Buy links open correctly; Handle API error state,Not Started,Ensure CJ API error state is handled gracefully — show fallback products
31,Associates,/associates,Affiliate,http://localhost:3000/associates,https://cloudbasket.in/associates,Static - Application,MEDIUM,Yes,Yes,No,Yes,Gemini CLI + User,Fast form load; LCP < 2s,Title: Become a CloudBasket Associate; Meta desc; H1; Schema: Service; Sitemap,Form inputs labeled; Error messages accessible; Submit CTA ARIA,Application form CSRF; Email validation; Rate limiting on /api/associates/apply; No data leakage in error response,Application form fields clear; Program benefits listed; Commission structure shown; Terms linked; Privacy notice for data collected,Form UX clean; Mobile responsive; CTA prominent; Success/error states designed,Form submits to /api/associates/apply; Success message shows; Error handled; Email confirmation sent,Not Started,Verify /api/associates/apply rate limiting and spam protection
32,Blog List,/blog,Blog,http://localhost:3000/blog,https://cloudbasket.in/blog,Static - Blog Index,MEDIUM,Yes,Yes,No,Yes,Gemini CLI + User,Blog card images WebP lazy; LCP < 2.5s; Pagination no CLS,Title: Blog - CloudBasket; Meta desc; H1; Schema: Blog; OG; Sitemap; Paginated canonicals,Article cards accessible; Read more links descriptive (not just 'Read More'); Keyboard nav,Low risk; No forms,Posts have titles/dates/authors/categories; No draft posts published; Content accurate; No copyright violations,Card grid responsive; Mobile layout; Category filter if present; Load more UX,Category filter works; Blog card click navigates to post; Pagination works; RSS feed link if present,Not Started,Check for duplicate content if blog posts are syndicated
33,Blog Post,/blog/[slug],Blog,http://localhost:3000/blog/post-title,https://cloudbasket.in/blog/post-title,Dynamic - Article,HIGH,Yes,Yes,No,Yes,Gemini CLI + User,LCP (hero image) < 2.5s; Reading time estimate shown; Images within article lazy,Schema: Article with author+date+headline; Title = post title; Meta desc = post excerpt; OG image = post image; Canonical per slug; BreadcrumbList,Article heading hierarchy; Image alts in article; Readable font; Reading progress accessible,No forms in basic post; Related post links safe,Author correct; Date accurate; Content factual; Internal links not broken; Affiliate links disclosed; No outdated prices quoted,Article typography readable; Mobile responsive; Share buttons; Related posts; Code blocks if any formatted,Share buttons fire correctly; Related posts links work; Invalid slug shows 404; Author profile link works if present,Not Started,Test invalid slug — should return 404 not crash
34,Quiz,/quiz,Interactive,http://localhost:3000/quiz,https://cloudbasket.in/quiz,Interactive - Tool,MEDIUM,Yes,Yes,Yes,Yes,Claude AI + User,Quiz renders fast; No CLS on answer selection; Progress bar smooth,Title: Find Your Perfect Product - Quiz; Meta desc; H1; Noindex quiz steps; Final result canonical,Step navigation keyboard accessible; Answer options ARIA labeled; Progress bar readable; Results accessible,Answer data not manipulable; Recommendation logic server-side; No user data stored without consent,Quiz questions relevant; Answer options cover use cases; Result recommendations accurate; Affiliate disclosure on results; Privacy note if data collected,Step-by-step UX clear; Mobile responsive; Progress visible; Result design compelling,Each step progresses correctly; Back navigation works; Results load correctly; Recommended products link to correct pages; Restart works,Not Started,Test all quiz paths — ensure recommendations are relevant and not broken
35,Login,/login,Auth,http://localhost:3000/login,https://cloudbasket.in/login,Auth - Login,CRITICAL,Yes,No,Yes,Yes,Claude AI + User,Form renders instantly; No layout shift; Minimal JS,Noindex — must be excluded from search index; Canonical; No OG required,Form inputs labeled; Error messages clear + accessible; Password field correctly typed; Keyboard tab order: email → password → submit,HTTPS enforced; CSRF token on form; Rate limiting on /api/auth; Brute force protection; Secure+HttpOnly cookie; No credentials in URL; OTP flow rate limited; No timing attack on email check; Lockout after N failed attempts,Error messages non-specific (no 'email not found'); Legal links (Privacy+Terms) present; Cookie notice present; No autocomplete on sensitive fields,Mobile keyboard (email type=email; password type=password); CTA 'Sign In' prominent; Forgot password link; Register link; Form error states designed,Login with email/password works; OTP send + verify works; OAuth (Google/GitHub) if present works; Redirect after login correct; Forgot password flow works; Rate limiting triggers after N attempts,Not Started,Security critical — test rate limiting and brute force protection
36,Register,/register,Auth,http://localhost:3000/register,https://cloudbasket.in/register,Auth - Register,CRITICAL,Yes,No,Yes,Yes,Claude AI + User,Form renders fast; No CLS,Noindex; Canonical; No OG,All inputs labeled; Password strength indicator accessible; Error messages clear,HTTPS; CSRF; Rate limiting; Email verification required; No duplicate accounts; Password min complexity enforced; GDPR/Indian IT Act data collection notice,Fields: name/email/password + confirm; T&C checkbox required; Privacy notice clear; Email verification message shown; No data required beyond necessity,Form UX clean; Mobile responsive; Password strength UX; Error states designed; Success state designed,Registration submits; Email verification sent; Duplicate email handled gracefully; Password mismatch handled; Submit with empty fields shows errors; Rate limiting works,Not Started,Ensure email verification is mandatory before account access
37,Contact,/contact,Support,http://localhost:3000/contact,https://cloudbasket.in/contact,Static - Form,HIGH,Yes,Yes,Yes,Yes,All,Form renders fast; reCAPTCHA if present doesn't block LCP,Title: Contact CloudBasket; Meta desc; H1; Schema: ContactPage; Sitemap,Form inputs labeled; Subject/message fields labeled; Submit CTA labeled; Error messages accessible,CSRF protection; Input sanitization; Rate limiting on /api/contact; No email harvesting; reCAPTCHA or honeypot,Contact info accurate (email/address/phone); Response time expectation stated; Support channels listed (email/WhatsApp/chat); Privacy note on form data,Form UX clean; Mobile responsive; Map/location if applicable; Success state designed; Error state designed,Contact form submits to /api/contact; Email arrives correctly; Auto-reply sent; Rate limiting triggers; Phone/WhatsApp links work,Not Started,Test contact form end-to-end — verify email arrives and auto-reply sends
38,FAQ,/faq,Support,http://localhost:3000/faq,https://cloudbasket.in/faq,Static - Informational,MEDIUM,Yes,Yes,No,Yes,Gemini CLI + User,Accordion renders fast; No CLS on expand; Fast text load,Title: FAQ - CloudBasket; Meta desc; H1; Schema: FAQPage (rich result eligible); Sitemap,Accordion ARIA expanded state; Keyboard toggle; Heading structure; Readable font,Low risk; No forms,Questions cover common user concerns; Answers accurate; No outdated info; Affiliate/legal questions covered; Return policy referenced; Pricing linked,Accordion UX clean; Mobile readable; Search within FAQ if present; Categories if present,Accordion expand/collapse works; Keyboard toggle works; Search within FAQ works if present; CTA links in answers work; All answer links not broken,Not Started,FAQPage schema can generate rich results in Google — verify markup with Rich Results Test
39,Support Ticket,/support/ticket,Support,http://localhost:3000/support/ticket,https://cloudbasket.in/support/ticket,Interactive - Form,HIGH,Yes,No,Yes,Yes,Claude AI + User,Form renders fast; File attach no CLS,Noindex or low-priority; Title: Submit Support Ticket; Meta desc,All inputs labeled; File upload accessible; Priority/category select labeled; Error messages clear,CSRF; Auth required — unauthenticated access should redirect to login; File upload validation (type+size); Rate limiting on /api/support/ticket; No data leakage in ticket ID,Form fields cover: subject/category/description/attachment; Priority levels clear; Confirmation message with ticket ID; Privacy note,Form UX clean; Mobile responsive; File upload UX; Success state with ticket reference,Auth gate works — unauthenticated redirects to /login; Form submits correctly; File upload works; Confirmation shows ticket ID; Support email received,Not Started,Verify auth gating — ticket form must require login
40,Legal Hub,/legal,Legal,http://localhost:3000/legal,https://cloudbasket.in/legal,Static - Index,LOW,No,No,Yes,No,Claude AI,Fast text load; No heavy assets,Title: Legal - CloudBasket; Meta desc; H1; Sitemap; Links to all legal sub-pages,Heading structure; All links descriptive; Keyboard nav,Low risk,All legal pages linked correctly; No missing legal pages; Last updated dates correct,Navigation list clean; Mobile readable,All legal sub-page links navigate correctly,Not Started,Quick audit — ensure all sub-pages are linked
